team,games,wins,win_pct,covers,cover_pct,win_rating,spread_rating,value_score
Arizona Wildcats,14,14,1.0,9,0.6428571428571429,0.858987271703536,0.4781043786696486,-0.38088289303388734
Butler Bulldogs,15,10,0.6666666666666666,9,0.6,0.3954654314290524,0.47156608059064364,0.07610064916159126
UC San Diego Tritons,11,8,0.7272727272727273,8,0.7272727272727273,0.5117157271616691,0.46172112637714846,-0.04999460078452067
Incarnate Word Cardinals,11,5,0.45454545454545453,7,0.6363636363636364,0.2236649640416773,0.44796800436590134,0.22430304032422405
Montana St Bobcats,12,5,0.4166666666666667,8,0.6666666666666666,0.2287693018914934,0.4441833566887345,0.2154140547972411
Oakland Golden Grizzlies,14,6,0.42857142857142855,8,0.5714285714285714,0.18814465221092563,0.44175442708381923,0.2536097748728936
Purdue Boilermakers,14,13,0.9285714285714286,9,0.6428571428571429,0.8243677388626744,0.4385284761934424,-0.3858392626692321
Texas A&M-CC Islanders,11,4,0.36363636363636365,6,0.5454545454545454,0.14792791047274065,0.4366108356267601,0.2886829251540195
Saint Louis Billikens,13,12,0.9230769230769231,8,0.6153846153846154,0.6868732035359812,0.4355449855975749,-0.2513282179384064
Saint Mary's Gaels,14,13,0.9285714285714286,8,0.5714285714285714,0.7887835836356735,0.43139935092386045,-0.357384232711813
Boise State Broncos,11,8,0.7272727272727273,8,0.7272727272727273,0.5239793030669777,0.420842722060235,-0.10313658100674272
Arkansas-Pine Bluff Golden Lions,10,3,0.3,6,0.6,0.1017121368823962,0.4190121296125505,0.3172999927301543
West Georgia Wolves,11,6,0.5454545454545454,8,0.7272727272727273,0.12437767437201615,0.4093348889528931,0.28495721458087697
Utah Tech Trailblazers,13,6,0.46153846153846156,8,0.6153846153846154,0.15953347075353372,0.4024770069049861,0.2429435361514524
Seton Hall Pirates,15,13,0.8666666666666667,9,0.6,0.6439878291290475,0.4017404962306452,-0.24224733289840228
Army Knights,9,3,0.3333333333333333,7,0.7777777777777778,0.10400949165013063,0.40140033618416815,0.2973908445340375
Wyoming Cowboys,12,8,0.6666666666666666,6,0.5,0.37258063797784796,0.39710656245854264,0.024525924480694683
Eastern Illinois Panthers,12,2,0.16666666666666666,7,0.5833333333333334,0.06277961365076125,0.39707573591866174,0.3342961222679005
Nicholls St Colonels,13,6,0.46153846153846156,6,0.46153846153846156,0.12634439210248458,0.39464047372181177,0.26829608161932716
Maryland-Eastern Shore Hawks,15,2,0.13333333333333333,10,0.6666666666666666,0.041897608622208496,0.38987187063767215,0.34797426201546366
Florida Int'l Golden Panthers,10,5,0.5,8,0.8,0.23593190522299182,0.3861986711907341,0.15026676596774227
Iowa Hawkeyes,14,12,0.8571428571428571,11,0.7857142857142857,0.6312610995288421,0.3829271413564977,-0.24833395817234444
Weber State Wildcats,13,5,0.38461538461538464,7,0.5384615384615384,0.15527189618375808,0.3790792014768543,0.22380730529309623
Notre Dame Fighting Irish,14,10,0.7142857142857143,9,0.6428571428571429,0.498755695453326,0.37851142309426405,-0.12024427235906193
Indiana St Sycamores,13,6,0.46153846153846156,9,0.6923076923076923,0.171229321751495,0.37771457136404857,0.20648524961255357
SMU Mustangs,14,12,0.8571428571428571,7,0.5,0.6486824621473765,0.37411316332982314,-0.2745692988175533
UT Rio Grande Valley Vaqueros,13,5,0.38461538461538464,7,0.5384615384615384,0.18367410743449875,0.3691066325553103,0.18543252512081154
Marist Red Foxes,13,8,0.6153846153846154,7,0.5384615384615384,0.3488067309536594,0.36326719589335427,0.014460464939694884
Tennessee St Tigers,10,6,0.6,8,0.8,0.15072977808938368,0.3623839388668972,0.2116541607775135
Pennsylvania Quakers,10,5,0.5,7,0.7,0.2552797023003333,0.35988523353759616,0.10460553123726285
UC Davis Aggies,12,6,0.5,7,0.5833333333333334,0.2494395505462488,0.35944414299301647,0.11000459244676766
Vanderbilt Commodores,11,11,1.0,7,0.6363636363636364,0.7608409695154038,0.35909524742242727,-0.40174572209297654
Columbia Lions,12,9,0.75,7,0.5833333333333334,0.3145746630957565,0.3486278436023673,0.034053180506610825
Iona Gaels,15,10,0.6666666666666666,9,0.6,0.23928231873123468,0.3423370295740792,0.10305471084284451
Bellarmine Knights,11,3,0.2727272727272727,8,0.7272727272727273,0.09240665349729263,0.34013817321639017,0.24773151971909754
Arkansas St Red Wolves,13,8,0.6153846153846154,9,0.6923076923076923,0.31579394420725077,0.3395499240887804,0.02375597988152961
McNeese Cowboys,13,10,0.7692307692307693,7,0.5384615384615384,0.4162797899683399,0.3390151810948266,-0.07726460887351333
Iowa State Cyclones,13,13,1.0,7,0.5384615384615384,0.7859030511452295,0.33837445699910945,-0.44752859414612006
Liberty Flames,9,8,0.8888888888888888,5,0.5555555555555556,0.44106917006112706,0.3346530020934407,-0.10641616796768638
Charlotte 49ers,13,6,0.46153846153846156,6,0.46153846153846156,0.2503865006198701,0.3306780882777693,0.08029158765789918
GW Revolutionaries,14,10,0.7142857142857143,8,0.5714285714285714,0.4867170396408576,0.3257040325671954,-0.16101300707366223
